,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,636262038.0,201008538.0,1429128538.0,568150738.0,3894338.0,2003922238.0,223334238.0,4427738.0,1155978538.0,527578438.0,447262538.0,16621238.0,33287338.0,5953306138.0,17288138.0,675025238.0,667147838.0,10040638.0,263094838.0,,28418838.0,380724338.0,308419338.0,75471338.0,9333216638.0,16663338.0,573283438.0,447121338.0,279871138.0,17345138.0,488885538.0,622781338.0,1914097538.0,,158976038.0,301918138.0,858196338.0,75631750238.0,2087784338.0,21575338.0,1858562838.0,129367738.0,191371238.0,663345138.0,308863638.0,726926238.0,50685638.0,680365638.0,347180538.0,32021938.0,,422149338.0,117957844738.0,104172418538.0,604698938.0,3131279138.0,299032638.0,22107038.0,160390538.0,102898338.0,2508242038.0,24738866538.0,,43318538.0,336668238.0,3864414638.0,12326238.0,51172038.0,48222438.0,317871138.0,5518207638.0,805254038.0,694737338.0,,5112838.0,483017938.0,334361538.0,55507638.0,43426238.0,383028738.0,18618039238.0,258547738.0,403734438.0,685602238.0,16610338.0,49919841838.0,51871088238.0,11126737238.0,2954004138.0,909092338.0,219738138.0,,297675038.0,3900671238.0,139128838.0,8661421638.0,183555238.0,1028996138.0,1179853138.0,4115338.0,3032461138.0,130741238.0,255251838.0,227830238.0,25502647938.0,175768838.0,27389270538.0,166357338.0,84966338.0,107616638.0,251106738.0,245820838.0,260176256038.0,26693038.0,24944538.0,132466638.0,615486338.0,491602738.0,1114652338.0,11269038.0,428938938.0,23572338.0,108974238.0,71373938.0,5007817238.0,5174238.0,12310753538.0,235674738.0,123298738.0,1442987738.0,688449738.0,2497021438.0,78096338.0,1039518338.0,1041294238.0,11153738.0,229453938.0,217973538.0,407186638.0,5128132538.0,275864038.0,101154638.0,1014085538.0,5857644238.0,150788238.0,237899738.0,236557938.0,1287357838.0,3562835738.0,2480674438.0,659318238.0,34442938.0,1513641038.0,9886659038.0,342005338.0,9162238.0,,5536638.0,929866938.0,387261438.0,4137538.0,207102438.0,228494638.0,,341940538.0,137335138.0,1456106438.0,16733838.0,326317238.0,2097656638.0,66484831038.0,2608323438.0,1087324438.0,,7904738.0,6095638.0,26966738638.0,1080087838.0,25488638.0,43544738.0,552328438.0,464424238.0,648070038.0,282530238.0,1348684338.0,3763350238.0,44761638.0,197315838.0,5338838.0,75208838.0,485294738.0,3276659838.0,209957438.0,880725238.0,3473510638.0,131929638.0,3741148838.0,16630832538.0,195152438.0,1151595538.0,7968438.0,1190536138.0,3842959838.0,6890638.0,326288329638.0,575895738.0,416194338.0,549842238.0
1,1992,684268738.0,199070538.0,1479062538.0,586484838.0,3951338.0,2037806338.0,217846438.0,4709738.0,1168649738.0,531318238.0,453086438.0,16964838.0,34342638.0,6133003738.0,17388138.0,674370338.0,667967238.0,10215738.0,273792738.0,,27984338.0,389543738.0,298857238.0,78466138.0,9551098838.0,17218838.0,567709938.0,459475238.0,284028138.0,17790738.0,499449438.0,640765038.0,1934112238.0,,163355338.0,310624038.0,873172338.0,76697831338.0,2137544938.0,22266338.0,1926782538.0,133421638.0,196825238.0,688998238.0,305451138.0,732934938.0,51932938.0,685817338.0,348493438.0,33029538.0,,431867638.0,119783080438.0,105897975138.0,621894238.0,3207301938.0,305269738.0,22530138.0,158432538.0,100820638.0,2594345138.0,24813734038.0,,44057738.0,337761838.0,3874962538.0,12564338.0,52478238.0,49544538.0,318675638.0,5544581938.0,830447438.0,701770938.0,,5146138.0,496063038.0,353452338.0,56667438.0,43422538.0,390752838.0,19207977338.0,266484338.0,408446038.0,688548638.0,16812138.0,51333735338.0,53073047838.0,11402784638.0,3021752538.0,942237738.0,223741138.0,,309763038.0,3902209138.0,140700938.0,8686322338.0,198569438.0,1028047438.0,1230377638.0,4154138.0,3079923038.0,,257383138.0,233941838.0,26120893938.0,172546238.0,28210957938.0,171822638.0,87255438.0,106150438.0,260323938.0,244917438.0,265407608538.0,26922938.0,25408538.0,131727338.0,635649938.0,493720238.0,1148692738.0,11616638.0,439788838.0,23859838.0,112330138.0,72537138.0,5155819338.0,5309638.0,12679265838.0,235779238.0,125592938.0,1476321538.0,721438238.0,2548052738.0,81097338.0,1070139038.0,1047716138.0,11497838.0,231671338.0,224626638.0,420855338.0,5269345638.0,277275738.0,108023338.0,1034105238.0,6014209838.0,154983638.0,245180938.0,242956838.0,1321670938.0,3666471738.0,2493031138.0,661901838.0,34982838.0,1505784238.0,9863569938.0,331041638.0,9231638.0,,5712938.0,957023638.0,400518338.0,4255338.0,205966038.0,234453138.0,,343983538.0,137456038.0,1481826838.0,17370138.0,323891938.0,2161879538.0,68121780838.0,2631350638.0,1107510938.0,,8045838.0,6173238.0,27773958938.0,1133504738.0,25876338.0,44546638.0,554207438.0,468463638.0,674344238.0,286727238.0,1396010638.0,3824005838.0,45801838.0,202473338.0,5313938.0,76158738.0,499686138.0,3357102938.0,216116138.0,906127038.0,3474514738.0,140888138.0,3742204538.0,16835135338.0,196715638.0,1178457838.0,8241238.0,1223170838.0,3929628938.0,6961738.0,331902524438.0,608222438.0,427301438.0,565261638.0
2,1993,737965838.0,197344938.0,1530417438.0,606724038.0,4029538.0,2074519838.0,211390138.0,5024138.0,1177971838.0,533350038.0,459252638.0,17268538.0,35470738.0,6319978638.0,17459938.0,674391138.0,668809538.0,10393838.0,285174938.0,,27465538.0,398782338.0,287503938.0,81575738.0,9773369338.0,17797838.0,564734838.0,472887838.0,288599538.0,18291238.0,509467538.0,659823638.0,1952396938.0,,168157138.0,319992338.0,888421038.0,77833690438.0,2188295238.0,23002338.0,1998651438.0,137675238.0,202636338.0,715817038.0,316394138.0,737459838.0,53238538.0,692791038.0,349796638.0,33975238.0,,441464638.0,121647449338.0,107684812638.0,639391238.0,3290221138.0,311268338.0,23002338.0,156229638.0,98190638.0,2686122038.0,24894409238.0,,44923638.0,338685638.0,3882547938.0,12820538.0,53860038.0,50917938.0,319446438.0,5569258138.0,856602738.0,707346038.0,,5216138.0,509407238.0,373787238.0,57919538.0,43573638.0,398826938.0,19838398638.0,274583838.0,416345238.0,692799638.0,16969038.0,52820757938.0,54316870238.0,11678235338.0,3089892138.0,977970738.0,227295438.0,,319786338.0,3902066438.0,142167638.0,8698056638.0,214077938.0,1022683538.0,1283577738.0,4197638.0,3119867738.0,,256960538.0,240231038.0,26749426338.0,168632638.0,29081705238.0,177820938.0,89584238.0,105614938.0,270001538.0,243258538.0,270844887938.0,27144838.0,25832838.0,131017538.0,657760838.0,493548038.0,1182708138.0,12037538.0,452228638.0,24185738.0,115900738.0,73505538.0,5302680638.0,5445338.0,13059314538.0,235981238.0,127857338.0,1509242738.0,757838438.0,2598579438.0,84073638.0,1103090538.0,1053073438.0,11847238.0,234084538.0,231528138.0,436095338.0,5419844038.0,278711038.0,115198838.0,1053469538.0,6180497238.0,159253438.0,252484838.0,249588738.0,1357077438.0,3773648338.0,2505606138.0,665458038.0,35297338.0,1513465438.0,9840145538.0,320396638.0,9293138.0,,5912338.0,985163238.0,414478138.0,4377438.0,204396738.0,238914038.0,,347907638.0,137583038.0,1506976638.0,18037738.0,321983838.0,2229327638.0,69824829538.0,2653748738.0,1126924238.0,,8171938.0,6241938.0,28632095838.0,1189759438.0,26220438.0,45535438.0,556275138.0,471446838.0,701957638.0,290935538.0,1445969138.0,3879005238.0,46598638.0,207911438.0,5285038.0,77063338.0,509594738.0,3438192138.0,222646838.0,932651238.0,3468769838.0,150301938.0,3742491838.0,17043059038.0,198446738.0,1207000838.0,8518338.0,1257308138.0,4017843738.0,6985338.0,337838304938.0,642689838.0,439332838.0,580503838.0
3,1994,790148938.0,195741338.0,1583221338.0,627830538.0,4130938.0,2111038738.0,205252638.0,5328938.0,1189008238.0,533589038.0,465385138.0,17581338.0,36682238.0,6513850038.0,17530038.0,673243938.0,669209438.0,10624038.0,296808938.0,,27038438.0,408433738.0,277036238.0,84753738.0,10004532038.0,18388238.0,564449838.0,487345138.0,293477138.0,18839538.0,522404938.0,680079438.0,1969755538.0,,173188838.0,330107538.0,903578938.0,78932726938.0,2240495438.0,23780138.0,2070308738.0,142093938.0,208751738.0,743181938.0,316382538.0,741005138.0,54601738.0,699172338.0,350940638.0,34848738.0,,451148538.0,123503526338.0,109453840938.0,657023438.0,3377275138.0,316804638.0,23529138.0,154541638.0,96137038.0,2781354238.0,24971419838.0,,45873938.0,339716138.0,3888710338.0,13086538.0,55327838.0,52396238.0,314878938.0,5580863438.0,883314938.0,712416838.0,,5309138.0,523557538.0,393396738.0,59312438.0,43717438.0,407754838.0,20493040538.0,282863338.0,426793338.0,696420638.0,17108738.0,54370141738.0,55618551938.0,11959047138.0,3167192138.0,1015301538.0,230644538.0,,329658138.0,3898869738.0,143746438.0,8711652138.0,229252838.0,1010857438.0,1337892538.0,4248338.0,3160978638.0,,256837438.0,246669738.0,27387938538.0,165534638.0,29991172838.0,183574738.0,91856338.0,106816038.0,279700238.0,241275838.0,276409569738.0,27378138.0,26255638.0,130683638.0,680081638.0,493993138.0,1218092538.0,12252938.0,465783038.0,24495338.0,119660838.0,74672838.0,5447175338.0,5576138.0,13466670938.0,236305738.0,130071438.0,1543767338.0,794407938.0,2652052638.0,87124838.0,1137166338.0,1057242238.0,12217938.0,237010638.0,238662238.0,452354438.0,5579215038.0,280114738.0,121904338.0,1073923238.0,6353909638.0,163542338.0,260029838.0,256551138.0,1392065738.0,3882270838.0,2520996238.0,669686838.0,35619638.0,1520302038.0,9834310838.0,315459738.0,9344238.0,,6101238.0,1015748038.0,428757338.0,4506638.0,203192438.0,245054338.0,,352150138.0,137877238.0,1533648738.0,18718338.0,321853738.0,2299199338.0,71598869238.0,2672779038.0,1145951238.0,,8297138.0,6306938.0,29530830438.0,1245370938.0,26578438.0,46601238.0,559431438.0,474084938.0,730542438.0,295247138.0,1496875738.0,3933843938.0,47160938.0,213692938.0,5273438.0,78080538.0,527654038.0,3519951838.0,229276338.0,960381438.0,3452196738.0,160036338.0,3745550438.0,17255660038.0,200136338.0,1234403938.0,8789338.0,1291953938.0,4110931238.0,6996638.0,343888480638.0,677775838.0,451990838.0,595987838.0
4,1995,836633838.0,194135838.0,1637475338.0,649209738.0,4250738.0,2145840738.0,200303038.0,5596338.0,1203255838.0,533697038.0,471641638.0,17925038.0,37964438.0,6714532638.0,17612038.0,672125138.0,669102238.0,10931238.0,308413938.0,,26830938.0,418481438.0,269144538.0,87956838.0,10245644238.0,18987738.0,563162538.0,502818438.0,298665138.0,19428338.0,539990338.0,701599938.0,1986493838.0,,178310038.0,341024338.0,918539738.0,79933686438.0,2294312738.0,24597738.0,2139858238.0,146651038.0,215118238.0,770584838.0,316893938.0,744060138.0,56020138.0,704000138.0,352527938.0,35675938.0,,461034638.0,125305813238.0,111159667138.0,674707938.0,3467339638.0,321772038.0,24120338.0,153945238.0,94501438.0,2878738338.0,25074762638.0,,46848638.0,340962838.0,3896044438.0,13365238.0,56888638.0,54006438.0,305874138.0,5594096638.0,910368738.0,717491738.0,,5410138.0,538687938.0,411157338.0,60868138.0,43770638.0,417738838.0,21162923638.0,291328338.0,436758238.0,698521338.0,17208338.0,55982437938.0,56983537038.0,12247992938.0,3259672338.0,1053559138.0,234291138.0,,339718838.0,3893567238.0,145529038.0,8726034938.0,243279938.0,997582238.0,1392339838.0,4307538.0,3207010438.0,111655038.0,259912938.0,253270938.0,28034940738.0,163117138.0,30932955838.0,188635438.0,94006238.0,110123338.0,289192738.0,239359238.0,282070271038.0,27646038.0,26721338.0,130918538.0,701774938.0,497081338.0,1255702038.0,12874738.0,480116838.0,24728538.0,123598138.0,75558038.0,5588589738.0,5693238.0,13893063138.0,236632438.0,132312038.0,1580747238.0,828982838.0,2710078438.0,90324238.0,1171382938.0,1060301138.0,12555038.0,240411538.0,245998738.0,469363838.0,5746856238.0,281482038.0,127544538.0,1095726038.0,6534098538.0,167817838.0,267908238.0,263887438.0,1425830738.0,3991334838.0,2539491438.0,674184238.0,36134538.0,1523143738.0,9864414038.0,319392438.0,9381738.0,,6265138.0,1049332338.0,443159638.0,4645438.0,202874338.0,251668038.0,,356081638.0,138270738.0,1562185238.0,19402538.0,324134038.0,2370638838.0,73444680938.0,2687578338.0,1164790538.0,,8431838.0,6369638.0,30463156638.0,1298216238.0,26985838.0,47811138.0,562143438.0,476543538.0,759801338.0,299836538.0,1547797738.0,3992376938.0,47474038.0,219877138.0,5286038.0,79275338.0,543365538.0,3602044338.0,235887638.0,989447038.0,3437335838.0,169974038.0,3752419538.0,17483694038.0,201682038.0,1262780638.0,9048638.0,1326661538.0,4211762838.0,7021238.0,350173678338.0,712361238.0,465160338.0,611922938.0
5,1996,868738938.0,194175638.0,1690699438.0,666721738.0,4406738.0,2177765138.0,197795038.0,5778138.0,1218870238.0,534184638.0,477583138.0,18170438.0,39079038.0,6913565038.0,17684738.0,672953638.0,668840538.0,11409638.0,317792138.0,,27264838.0,428480938.0,264707038.0,90834738.0,10487556538.0,19585138.0,561466938.0,517179938.0,302641038.0,19997638.0,558615538.0,722194338.0,2008040038.0,,182701038.0,351280538.0,934130938.0,81317770738.0,2347607538.0,25424538.0,2195080738.0,151149938.0,221680238.0,794404438.0,304557038.0,748439238.0,57346938.0,706903938.0,353739238.0,36563638.0,,470929338.0,127465960138.0,113244253338.0,691878338.0,3568885438.0,325991438.0,24783338.0,157667138.0,93619338.0,2966216238.0,25237380938.0,,47480938.0,341603538.0,3904313138.0,13715638.0,58501638.0,55522838.0,298336138.0,5608139938.0,935414338.0,720467238.0,,5501638.0,553410138.0,423672838.0,62307038.0,44284638.0,427887138.0,21761824738.0,299600638.0,456439038.0,698703438.0,17313938.0,57514112738.0,58313203538.0,12522417938.0,3390032638.0,1093940338.0,238925838.0,,349942938.0,3886435638.0,147803938.0,8721735738.0,250931138.0,989611638.0,1441772938.0,4381838.0,3237144438.0,112742938.0,265441238.0,258691838.0,28672760138.0,161830938.0,31797762638.0,191890438.0,95488238.0,116745638.0,299339438.0,237502938.0,288058491838.0,27913838.0,27292638.0,131525738.0,722656538.0,504956438.0,1295710138.0,13428738.0,492844638.0,24964438.0,127693538.0,76261438.0,5724139838.0,5783538.0,14354118438.0,237675438.0,135249538.0,1616243638.0,852534838.0,2769214138.0,93529838.0,1200136538.0,1062734738.0,12805238.0,243948238.0,253517338.0,485517238.0,5899629338.0,282859938.0,130019938.0,1115903038.0,6725970338.0,172166338.0,275416938.0,271372838.0,1456827038.0,4099298238.0,2553794038.0,677900338.0,36809338.0,1526514038.0,9923671938.0,330277438.0,9453538.0,,6425638.0,1097459338.0,455549138.0,4735938.0,202575838.0,260671038.0,,359197338.0,138544338.0,1589867038.0,20051838.0,329115038.0,2431929938.0,75244112038.0,2699974838.0,1181804338.0,,8600338.0,6430138.0,31305867138.0,1340791438.0,27432338.0,49259338.0,562867838.0,477289038.0,790271538.0,304987238.0,1590913738.0,4062136938.0,46074238.0,226556638.0,5298838.0,80509338.0,556916138.0,3682003538.0,242046338.0,1015171238.0,3422079838.0,179305538.0,3762115338.0,17702450438.0,202960538.0,1298000138.0,9280238.0,1362048338.0,4313722738.0,6986638.0,356635191938.0,740954538.0,478342438.0,624644938.0
6,1997,892881538.0,194050338.0,1745684938.0,684900038.0,4562138.0,2208827138.0,196687338.0,5923738.0,1233381038.0,535813738.0,484405038.0,18457638.0,40358938.0,7119038338.0,17765538.0,673945038.0,669284338.0,11971338.0,327258338.0,,27976138.0,438947338.0,262794138.0,93734238.0,10733140038.0,20208538.0,558824538.0,532830938.0,306843938.0,20592238.0,582783838.0,744219838.0,2032113538.0,,187147738.0,362607338.0,949195638.0,82475301138.0,2403389338.0,26283338.0,2248259238.0,155811738.0,228489738.0,818325138.0,309074338.0,751222838.0,58806538.0,709486738.0,354434938.0,37386138.0,,481158138.0,129426769138.0,115143578838.0,708992838.0,3669949938.0,329791238.0,25513838.0,162549738.0,93017238.0,3055986038.0,25416520638.0,,48174338.0,342808538.0,3912862538.0,14053538.0,60208838.0,57211738.0,293521438.0,5616270838.0,961206538.0,724323538.0,,5574838.0,569301438.0,433894738.0,63944738.0,44671638.0,439024838.0,22379660938.0,308093638.0,461085838.0,697963438.0,17494438.0,59115530038.0,59701388938.0,12807408438.0,3534279138.0,1134978538.0,243955938.0,,359654138.0,3879925738.0,149726938.0,8710884838.0,257415838.0,981968238.0,1490008138.0,4462738.0,3276823738.0,116821638.0,271401838.0,264551138.0,29312798738.0,160874938.0,32700165838.0,194456838.0,96849938.0,125983338.0,308911438.0,235866238.0,293999325738.0,28191038.0,27904538.0,132758838.0,743167838.0,516331038.0,1338183738.0,13772638.0,506760238.0,25191338.0,131998538.0,77422138.0,5856739538.0,5845438.0,14832031938.0,238447838.0,137973438.0,1654821638.0,875615738.0,2832162738.0,96930438.0,1228361038.0,1065939838.0,13082938.0,247015338.0,261143638.0,502383138.0,6062674838.0,284470838.0,131506238.0,1138189938.0,6923036038.0,176439338.0,283278538.0,279151338.0,1486736738.0,4206564438.0,2573657638.0,682188038.0,37976038.0,1524543938.0,9986425338.0,349672438.0,9505238.0,,6555638.0,1144780338.0,468144438.0,4820538.0,203449738.0,269126538.0,,362424138.0,138592538.0,1619516238.0,20711838.0,337097838.0,2492434038.0,77105371138.0,2711162838.0,1198916738.0,,8793838.0,6489738.0,32189024638.0,1380083838.0,27907238.0,50845838.0,564002838.0,477503738.0,820612238.0,310110638.0,1634591538.0,4134799038.0,44388038.0,233675938.0,5341538.0,81861738.0,569894038.0,3761523538.0,248335238.0,1042857438.0,3417621238.0,189497338.0,3775182638.0,17954423438.0,204180438.0,1335165138.0,9503238.0,1397074938.0,4428567238.0,7002938.0,363096365438.0,770187238.0,492149938.0,637863638.0
7,1998,913967138.0,193813438.0,1801918138.0,704323938.0,4707238.0,2239277038.0,196643238.0,6046838.0,1247781238.0,538226738.0,492273938.0,18779938.0,41702138.0,7329507138.0,17845338.0,675291238.0,669833538.0,12568438.0,337063238.0,,28928138.0,449777838.0,262812738.0,96628038.0,10981033738.0,20848438.0,555818138.0,549600238.0,311838938.0,21211438.0,611963338.0,767586838.0,2054515238.0,,191656638.0,374999938.0,964205538.0,83550922638.0,2460776938.0,27173638.0,2302566538.0,160562038.0,235462938.0,842005938.0,303370638.0,753371638.0,60347438.0,711898738.0,354944738.0,38198238.0,,491598838.0,131334066438.0,116992475138.0,726138038.0,3773756438.0,333205838.0,26332838.0,168571638.0,92551938.0,3148760938.0,25613196238.0,,48855238.0,344275138.0,3923059438.0,14398038.0,62002738.0,59062738.0,291740938.0,5618063538.0,988031338.0,728736338.0,,5641238.0,586098238.0,442743738.0,65738838.0,44828638.0,450903238.0,23021830038.0,316793938.0,466399938.0,696602138.0,17737638.0,60786557838.0,61140313038.0,13098801038.0,3688249838.0,1176659838.0,248937738.0,,368547738.0,3871516438.0,151542838.0,8699173238.0,263108638.0,973287538.0,1538522538.0,4554838.0,3313261438.0,122937638.0,278028038.0,270758338.0,29954461938.0,160080838.0,33641333438.0,197267338.0,98129838.0,136469638.0,318208838.0,234491338.0,300024161738.0,28496138.0,28577838.0,134358538.0,763984938.0,530203238.0,1382396738.0,14423338.0,521760138.0,25380938.0,136519838.0,78581138.0,5986585438.0,5895538.0,15323486538.0,240226138.0,140723438.0,1694998138.0,898836538.0,2896818338.0,100375638.0,1255992038.0,1070545838.0,13370438.0,249278138.0,268835938.0,519811538.0,6234597838.0,286376238.0,132391538.0,1162341038.0,7127864638.0,180681338.0,291398138.0,287202838.0,1515909338.0,4314842438.0,2596695838.0,686806838.0,39515838.0,1521121938.0,10055161538.0,372762638.0,9539138.0,,6672938.0,1190116638.0,481204438.0,4950238.0,205839838.0,278755738.0,,365650438.0,138451938.0,1650851438.0,21384238.0,347009638.0,2553847938.0,79027249638.0,2722887738.0,1216254438.0,,9005238.0,6547138.0,33113292438.0,1417807638.0,28393038.0,52518338.0,565842138.0,478414338.0,850923338.0,315778938.0,1679418338.0,4209736438.0,42704238.0,241221638.0,5397838.0,83300438.0,582596338.0,3840948738.0,254729138.0,1072715338.0,3419669738.0,200185938.0,3792220838.0,18217028738.0,205285138.0,1371329538.0,9724738.0,1432283138.0,4553851638.0,7050338.0,369641567738.0,800332238.0,506523238.0,651223438.0
8,1999,938197238.0,193607938.0,1858398038.0,725717538.0,4834738.0,2269969638.0,197021338.0,6164638.0,1263488238.0,541025638.0,500752838.0,19116638.0,43085538.0,7543430138.0,17909438.0,677938538.0,670644438.0,13148438.0,347562838.0,,30070538.0,460874038.0,263785138.0,99483638.0,11228604838.0,21502038.0,554025738.0,567284338.0,318337438.0,21861938.0,643454138.0,792104938.0,2077105138.0,,196269038.0,388460738.0,979830338.0,84764296638.0,2518200738.0,28095338.0,2361574038.0,165321738.0,242495838.0,865088038.0,306146038.0,756031838.0,61931938.0,714428838.0,355390038.0,39093638.0,,501991038.0,133362690438.0,118984333938.0,743476838.0,3884646538.0,336344838.0,27265938.0,175600438.0,92608738.0,3246202638.0,25808034838.0,,49442638.0,345550238.0,3940394838.0,14770938.0,63874538.0,61056038.0,290735738.0,5621126138.0,1016149738.0,731558938.0,,5717938.0,603290438.0,451383038.0,67626538.0,44748738.0,463071338.0,23698049138.0,325689238.0,472510538.0,695231738.0,18012038.0,62521828338.0,62615785538.0,13387629338.0,3846740138.0,1219258038.0,253878638.0,,378551638.0,3860685538.0,153014938.0,8676719838.0,268523638.0,971730438.0,1589294838.0,4663338.0,3344153638.0,129606038.0,285013238.0,277185538.0,30596018938.0,159567938.0,34623586238.0,201511438.0,99395838.0,146550038.0,327741338.0,233434838.0,306307990838.0,28852138.0,29327838.0,135952438.0,786463338.0,545433638.0,1427171538.0,15223838.0,537776238.0,25545238.0,141278038.0,79878838.0,6114095438.0,5949138.0,15831000538.0,242101438.0,143854838.0,1734302238.0,922974438.0,2959749038.0,103679038.0,1283298238.0,1076007738.0,13659138.0,250833138.0,276526938.0,537841738.0,6413416438.0,288703838.0,133423338.0,1188469438.0,7345258138.0,184983538.0,299652338.0,295507538.0,1545043138.0,4426265938.0,2619057538.0,691492838.0,41215438.0,1520070038.0,10113912438.0,395238238.0,9558438.0,,6805138.0,1234209038.0,495052838.0,5083838.0,210129538.0,281528338.0,,368948138.0,138734738.0,1683458538.0,22074238.0,357705938.0,2619159138.0,81004729238.0,2738131638.0,1233465838.0,,9224838.0,6600038.0,34083873538.0,1456051838.0,28855038.0,54191338.0,568013738.0,480494738.0,881500738.0,322740138.0,1725922438.0,4283999338.0,41319138.0,249159138.0,5446638.0,84727538.0,596170538.0,3921075738.0,261105638.0,1104954938.0,3416925238.0,211451938.0,3812650138.0,18482446738.0,206256038.0,1403098838.0,9957038.0,1468512638.0,4683141638.0,7092638.0,376452699538.0,831755938.0,521488638.0,664102638.0
9,2000,969325138.0,193565238.0,1914444838.0,749445238.0,4946338.0,2301400638.0,197316538.0,6291238.0,1279519238.0,543472838.0,509718838.0,19465038.0,44582038.0,7759077938.0,17952838.0,680847138.0,671657738.0,13689038.0,359015738.0,,31354638.0,472181838.0,264960238.0,102280838.0,11473258938.0,22167338.0,553486438.0,585798138.0,326795738.0,22551938.0,674822238.0,817626238.0,2101083138.0,,200995738.0,402985538.0,996348338.0,86218629038.0,2574770938.0,29046738.0,2427443338.0,170039738.0,249496938.0,887324838.0,297039538.0,759666638.0,63550538.0,716034738.0,355958738.0,40112138.0,,512207138.0,135585431838.0,121175877738.0,761081338.0,4003829838.0,339340938.0,28321438.0,183433438.0,94153238.0,3349463938.0,26002290638.0,,49921838.0,346437638.0,3965827238.0,15173938.0,65818138.0,63165138.0,289752338.0,5624444638.0,1045741738.0,734063038.0,,5812738.0,620636238.0,460621338.0,69571538.0,44505538.0,475260738.0,24415250038.0,334811738.0,478471138.0,694699038.0,18317538.0,64323941038.0,64115649938.0,13666478938.0,4006495238.0,1262838638.0,259028938.0,,389228338.0,3848412738.0,154349238.0,8650095238.0,274189038.0,975415838.0,1643172638.0,4787238.0,3370641338.0,135755038.0,291703938.0,283809738.0,31235394238.0,158885238.0,35647834338.0,207886138.0,100711538.0,155215038.0,337715538.0,232669638.0,312897881538.0,29224138.0,30146938.0,137305838.0,811321038.0,561234038.0,1451404938.0,15895638.0,554835238.0,25736738.0,146280138.0,80828838.0,6239269138.0,6012038.0,16350951238.0,244297938.0,147531938.0,1771509538.0,948598138.0,3018640338.0,106725438.0,1310612338.0,1082302938.0,13947038.0,252640438.0,284174938.0,556650638.0,6597655138.0,291113838.0,135221638.0,1216716538.0,7577107738.0,189387938.0,307994538.0,304040038.0,1574611738.0,4541428038.0,2612559238.0,696608338.0,42965538.0,1522886538.0,10161129138.0,415177138.0,9569738.0,,6966938.0,1279231238.0,509883338.0,5161538.0,216416238.0,286786038.0,,371524838.0,139397538.0,1717648938.0,22784438.0,368484838.0,2690723938.0,83029303438.0,2761716738.0,1250280338.0,,9445338.0,6649138.0,35104064438.0,1496300738.0,29269838.0,55789738.0,570515938.0,483221138.0,912344538.0,331357638.0,1774407738.0,4354581238.0,40418238.0,257434938.0,5477438.0,86084038.0,608822638.0,4002249138.0,267381338.0,1139735738.0,3403611738.0,223984438.0,3835280838.0,18742141638.0,207086238.0,1441985038.0,10211238.0,1506076438.0,4806844438.0,7117038.0,383542950138.0,864955138.0,536980738.0,676122438.0
