,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,326234835.0,102650935.0,722977435.0,278268235.0,1903835.0,988121335.0,107886935.0,2172935.0,584231935.0,263545635.0,217924335.0,8223935.0,20316935.0,3047104935.0,8405535.0,325543735.0,335913135.0,5071535.0,125790235.0,,14964235.0,190952435.0,156318335.0,37121335.0,4606519735.0,8915935.0,284989435.0,212390935.0,135685935.0,7865435.0,230606635.0,307892535.0,963230435.0,,77703635.0,148922335.0,424446335.0,38967942235.0,1028536035.0,10803935.0,911987235.0,64300435.0,96303035.0,355483735.0,154079435.0,367385435.0,25900335.0,338628835.0,176056035.0,16120635.0,,211133835.0,60066845535.0,53148802035.0,303097935.0,1565293635.0,142904835.0,11536535.0,79059935.0,49611635.0,1239794035.0,12092033835.0,,21889935.0,169717435.0,1949017035.0,6482335.0,24875635.0,24247835.0,153235335.0,2806126035.0,409035835.0,346410535.0,,2549635.0,234843535.0,164824835.0,27344635.0,21373735.0,185444535.0,9188124535.0,128933735.0,208173235.0,335957235.0,8430735.0,24928967935.0,26895135335.0,5565650235.0,1495466235.0,453331635.0,110525335.0,,148222335.0,1941878335.0,68387035.0,4333830835.0,98120835.0,504686435.0,582902135.0,2005835.0,1524873735.0,72478135.0,125835035.0,113297835.0,12619400635.0,84181435.0,13553361935.0,80246335.0,40406235.0,53121035.0,135632435.0,118613435.0,131780138435.0,13548835.0,12057035.0,66608335.0,304868435.0,239368435.0,564406935.0,5703135.0,207900535.0,11623535.0,53789135.0,35866235.0,2476655135.0,2630035.0,6184143935.0,112500435.0,60769535.0,712562935.0,317390535.0,1217388635.0,37724935.0,512387235.0,528549135.0,5716935.0,114113035.0,106542035.0,193861435.0,2583422335.0,140336235.0,62353035.0,511868535.0,3040109335.0,75992235.0,121758635.0,119965535.0,640426235.0,1799660135.0,1226218935.0,321133235.0,25165335.0,754854735.0,4808681235.0,166121835.0,4734135.0,,2714235.0,563636835.0,190996735.0,2078435.0,102105535.0,114861635.0,,168937835.0,68498435.0,731714235.0,8534735.0,160757735.0,1038207635.0,34387509735.0,1301667035.0,545870935.0,,3884035.0,3058535.0,13348248435.0,540800835.0,12950735.0,19504935.0,280324735.0,232888735.0,328399435.0,140605335.0,663740735.0,1854717635.0,22718935.0,96575835.0,2681235.0,37535035.0,242822135.0,1608740735.0,103692335.0,434326435.0,1673836335.0,95804235.0,1867128235.0,8299071735.0,95281535.0,570767435.0,4026835.0,598368635.0,1890132135.0,3299135.0,165024299935.0,281598535.0,204937035.0,273117735.0
1,1992,352121635.0,100341635.0,748305835.0,287248235.0,1938735.0,1004897635.0,104670335.0,2316735.0,590103335.0,265894735.0,220688735.0,8390435.0,20966935.0,3138154435.0,8456935.0,325385035.0,336409535.0,5156135.0,131475835.0,,14713035.0,195341835.0,151443135.0,38660935.0,4711928235.0,9198035.0,282022835.0,218517535.0,137443335.0,8116335.0,235576735.0,316879335.0,972868335.0,,79844635.0,153309435.0,432033435.0,39498925135.0,1052298235.0,11153335.0,946241735.0,66337535.0,99000535.0,368560735.0,152429435.0,370583935.0,26519635.0,341573035.0,176747835.0,16623235.0,,215880835.0,60979610535.0,54009272935.0,311623135.0,1604975135.0,145640735.0,11764035.0,78061235.0,48492135.0,1281261935.0,12130000735.0,,22270635.0,170366735.0,1953141635.0,6608235.0,25555135.0,24861235.0,153609935.0,2824135035.0,420741935.0,350210535.0,,2567835.0,240563135.0,174354435.0,27912135.0,21438635.0,189196735.0,9480463435.0,132826335.0,209526635.0,337316035.0,8527235.0,25639985035.0,27510400435.0,5699948535.0,1527986935.0,469865435.0,112505935.0,,153976135.0,1943071435.0,69175735.0,4349382435.0,106256035.0,504061835.0,607882935.0,2025135.0,1549478235.0,,127005135.0,116179335.0,12920385435.0,82637435.0,13969113535.0,83117335.0,41656935.0,52396035.0,140121135.0,118192335.0,134403922435.0,13667535.0,12271335.0,66210035.0,314729935.0,241218135.0,581774935.0,5841135.0,213451135.0,11778835.0,55474835.0,36449235.0,2548818635.0,2701335.0,6371831635.0,112671435.0,61911635.0,728655635.0,332901535.0,1242828835.0,39228735.0,531489135.0,531934135.0,5892335.0,115147135.0,109731735.0,200911435.0,2655044835.0,141019935.0,68112435.0,522149435.0,3117997135.0,78068335.0,125384335.0,123227435.0,657625335.0,1851175335.0,1232367535.0,322703935.0,25447735.0,750797735.0,4799853835.0,159888435.0,4772635.0,,2803435.0,578904435.0,197375235.0,2141835.0,101510935.0,117891235.0,,169970935.0,68609835.0,744965635.0,8859835.0,159555435.0,1068401935.0,35226068135.0,1313313035.0,555351435.0,,3950835.0,3106535.0,13746363735.0,567494735.0,13141235.0,20135235.0,281293335.0,234913835.0,341677835.0,142852935.0,687443235.0,1887754135.0,23228835.0,98650135.0,2665135.0,38034335.0,250187135.0,1647586835.0,106736735.0,446654735.0,1675504335.0,102335735.0,1866538035.0,8406620435.0,96094135.0,584237435.0,4164735.0,614596535.0,1933412235.0,3330635.0,167850627035.0,300136335.0,210392135.0,280553335.0
2,1993,381032735.0,98049235.0,774308535.0,297190735.0,1983935.0,1023263735.0,100887635.0,2476935.0,594311135.0,267315235.0,223481235.0,8534135.0,21640335.0,3232511035.0,8491935.0,325534935.0,336903735.0,5242135.0,137549035.0,,14415935.0,199945735.0,145579735.0,40260935.0,4819947535.0,9485535.0,280379835.0,225196935.0,139376635.0,8391235.0,240154535.0,326416935.0,981649835.0,,82202635.0,158028035.0,439777135.0,40066316135.0,1076534735.0,11525735.0,982328335.0,68478435.0,101883935.0,382255335.0,157887935.0,373010235.0,27162435.0,345290035.0,177460635.0,17097035.0,,220549335.0,61912504435.0,54901059635.0,320300835.0,1648543635.0,148224335.0,12019135.0,76944035.0,47093035.0,1325203735.0,12169064735.0,,22714035.0,170921035.0,1955754135.0,6745135.0,26276035.0,25477035.0,153874335.0,2840152835.0,432876935.0,353351235.0,,2603035.0,246412735.0,184526335.0,28527235.0,21579335.0,193120235.0,9793321635.0,136788135.0,212409035.0,339379135.0,8600435.0,26388505235.0,28146202235.0,5832789535.0,1560289235.0,487741935.0,114269435.0,,158708835.0,1943365435.0,69942235.0,4358085335.0,114631735.0,501019635.0,634255235.0,2046535.0,1570457435.0,,126900635.0,119127735.0,13227240035.0,80703235.0,14409798235.0,86277435.0,42912835.0,52139135.0,144875035.0,117382535.0,137130988535.0,13775535.0,12476435.0,65833835.0,325598735.0,241987235.0,599025635.0,6014035.0,219875435.0,11952935.0,57275135.0,36924135.0,2620574235.0,2773135.0,6565438235.0,112901635.0,63052535.0,744443235.0,350056135.0,1268072335.0,40723335.0,552099835.0,534803135.0,6069435.0,116303835.0,113057335.0,208932235.0,2731473535.0,141718635.0,74035235.0,531957035.0,3200980235.0,80183435.0,129029735.0,126616035.0,675407135.0,1904415635.0,1238784435.0,324783835.0,25536335.0,754505035.0,4790202735.0,153789435.0,4809835.0,,2904235.0,593916135.0,204089235.0,2208835.0,100704635.0,120221935.0,,171949735.0,68730835.0,757807635.0,9201935.0,158616535.0,1100370835.0,36097765435.0,1324845535.0,564509635.0,,4007935.0,3148835.0,14170420635.0,595623535.0,13310135.0,20776135.0,282372635.0,236401535.0,355652035.0,145101235.0,712540435.0,1918507835.0,23613035.0,100842835.0,2646635.0,38510235.0,255244235.0,1686827335.0,109963935.0,459581035.0,1673295535.0,109120035.0,1865494235.0,8518094835.0,97017335.0,598530435.0,4305235.0,631587535.0,1977505335.0,3337235.0,170845490035.0,319943235.0,216330135.0,287884735.0
3,1994,409000135.0,96018135.0,801009335.0,307600235.0,2036535.0,1041664035.0,97228135.0,2631335.0,599524235.0,267803835.0,226174035.0,8677735.0,22336635.0,3330443235.0,8524335.0,325148335.0,337172335.0,5354635.0,143731235.0,,14163235.0,204760035.0,140164535.0,41898935.0,4932846235.0,9762235.0,280131535.0,232414735.0,141523535.0,8685735.0,246217735.0,336573935.0,990104435.0,,84681035.0,163124235.0,447479735.0,40614020235.0,1101551035.0,11919835.0,1018371935.0,70706135.0,104923335.0,396233735.0,157860135.0,374889535.0,27835235.0,348726935.0,178091935.0,17534835.0,,225251235.0,62840578735.0,55783102835.0,329046335.0,1694229935.0,150541335.0,12302135.0,76082135.0,45996435.0,1370841235.0,12205014535.0,,23200435.0,171525135.0,1957799135.0,6883835.0,27046035.0,26133035.0,151504435.0,2848563935.0,445378235.0,356298835.0,,2650435.0,252642735.0,194371335.0,29214535.0,21681235.0,197484535.0,10118481135.0,140829335.0,216486835.0,341173635.0,8664735.0,27168399235.0,28813320935.0,5969069835.0,1597076935.0,506451535.0,115934435.0,,163415935.0,1942181635.0,70774035.0,4367656335.0,122766135.0,494571035.0,661263635.0,2069935.0,1592210335.0,,126915635.0,122160335.0,13539950335.0,79131135.0,14869223935.0,89313235.0,44122035.0,52752435.0,149657635.0,116407135.0,139922683235.0,13889535.0,12677335.0,65652535.0,336604435.0,242992835.0,617014235.0,6087135.0,226900135.0,12118935.0,59180635.0,37495135.0,2691505435.0,2840335.0,6772261635.0,113194835.0,64193835.0,760979535.0,367266535.0,1294672535.0,42258335.0,572713535.0,537067435.0,6255435.0,117721335.0,116500735.0,217509735.0,2812646535.0,142415435.0,79332435.0,542228735.0,3287713235.0,82316435.0,132801635.0,130174635.0,692995335.0,1958331035.0,1246913035.0,327219335.0,25596135.0,757794635.0,4788343935.0,150513335.0,4843135.0,,2999735.0,609802735.0,210907735.0,2278935.0,100084635.0,123383235.0,,174112835.0,68950035.0,771297735.0,9551935.0,158557035.0,1133331135.0,37006954635.0,1335015835.0,573513435.0,,4064135.0,3188635.0,14615399435.0,623445135.0,13489835.0,21446035.0,284027435.0,237735435.0,370114935.0,147394735.0,738200735.0,1948778235.0,23883935.0,103236535.0,2637435.0,39042635.0,264307935.0,1726363335.0,113236835.0,473168935.0,1665479135.0,116060735.0,1865921835.0,8632791635.0,97936135.0,612204535.0,4442235.0,648825935.0,2024191435.0,3338335.0,173898932135.0,339834635.0,222605035.0,295384735.0
4,1995,433725435.0,94398635.0,828413935.0,318189635.0,2092135.0,1059295935.0,94161335.0,2764135.0,606543435.0,268209935.0,228878035.0,8831635.0,23052035.0,3432181335.0,8560635.0,324826035.0,337191335.0,5506635.0,149838635.0,,14021535.0,209775835.0,136105835.0,43553835.0,5051162835.0,10023135.0,279460935.0,240152435.0,143949035.0,8996235.0,254700235.0,347386935.0,998440035.0,,87209535.0,168627335.0,455077135.0,41110434935.0,1127484035.0,12334835.0,1053456835.0,73006635.0,108089735.0,410215435.0,158096435.0,376457735.0,28543035.0,351409435.0,178933535.0,17948435.0,,230049935.0,63740874335.0,56632458535.0,337817135.0,1741173135.0,152544935.0,12616635.0,75761035.0,45154935.0,1417712035.0,12252486935.0,,23700835.0,172236735.0,1960657135.0,7023135.0,27870735.0,26851135.0,146973335.0,2856974735.0,458236835.0,359298335.0,,2703335.0,259333035.0,203337535.0,29985335.0,21695735.0,202397235.0,10451431135.0,144955435.0,220213035.0,342256435.0,8709035.0,27979213135.0,29515886035.0,6111483135.0,1641650535.0,525649835.0,117751735.0,,168290735.0,1940055935.0,71706235.0,4377570635.0,130186835.0,487190935.0,688431135.0,2095435.0,1616703035.0,69092435.0,128472835.0,125303835.0,13857877035.0,77892435.0,15343352935.0,91977735.0,45245535.0,54420135.0,154344835.0,115466735.0,142763000935.0,14025035.0,12887935.0,65762735.0,347328335.0,245149635.0,636262735.0,6367335.0,234333335.0,12247535.0,61187235.0,37924535.0,2761386835.0,2896835.0,6987706535.0,113486335.0,65381435.0,778726935.0,383479735.0,1323313735.0,43870135.0,592189535.0,538747035.0,6421935.0,119359535.0,120040035.0,226446435.0,2898347135.0,143114535.0,83412735.0,553187235.0,3377989735.0,84453635.0,136745735.0,133920935.0,709973835.0,2012439635.0,1256974535.0,329805635.0,25775035.0,759101035.0,4803000935.0,151635035.0,4869735.0,,3082335.0,627098735.0,217708335.0,2352335.0,99911535.0,126720835.0,,176157135.0,69244535.0,785681535.0,9905435.0,159684135.0,1166426035.0,37954795135.0,1343459535.0,582434435.0,,4125735.0,3226735.0,15077676935.0,649900435.0,13698635.0,22161835.0,285484235.0,239006735.0,384904635.0,149809935.0,763962435.0,1979769035.0,24037835.0,105896835.0,2642135.0,39664635.0,272098435.0,1765972235.0,116497435.0,487495735.0,1658194535.0,123105635.0,1868459335.0,8755033235.0,98791135.0,626269535.0,4572435.0,666075735.0,2074959135.0,3347235.0,177084068635.0,358910035.0,229159535.0,303199035.0
5,1996,450440935.0,94827635.0,855636135.0,326814635.0,2149435.0,1075111335.0,92371335.0,2841735.0,614152435.0,268559735.0,231368335.0,8928835.0,23631735.0,3532498935.0,8591935.0,325398835.0,336954635.0,5746335.0,154511235.0,,14203435.0,214731435.0,133877335.0,45049435.0,5169119335.0,10249535.0,278503035.0,247338435.0,146332435.0,9280435.0,263261435.0,357726335.0,1009043435.0,,89367135.0,173799735.0,462963635.0,41798904835.0,1153295135.0,12753535.0,1081305635.0,75275135.0,111328735.0,422025235.0,151786635.0,378539835.0,29203535.0,352996335.0,179498435.0,18389735.0,,234849035.0,64814696635.0,57669178335.0,346286635.0,1792699635.0,154188535.0,12967835.0,77607235.0,44790235.0,1461426235.0,12323418835.0,,24021135.0,172569935.0,1963537635.0,7193035.0,28747835.0,27519435.0,143195335.0,2863263835.0,470575535.0,360963135.0,,2750435.0,265761035.0,209702335.0,30690535.0,22016635.0,207433935.0,10751172335.0,149015035.0,228215535.0,342213735.0,8758435.0,28743244335.0,30196977635.0,6250430035.0,1706468735.0,546017935.0,120034635.0,,173163035.0,1936136335.0,72916935.0,4375813235.0,133885935.0,481736835.0,713209835.0,2130335.0,1633209735.0,70223035.0,131200835.0,127935835.0,14170927735.0,77250735.0,15773609335.0,93621735.0,45881435.0,57744035.0,159392235.0,114475335.0,145747493435.0,14154535.0,13150835.0,66078535.0,357696635.0,249242735.0,657110235.0,6635435.0,240991435.0,12378935.0,63286635.0,38220435.0,2829467435.0,2935235.0,7218831135.0,114117135.0,66935435.0,795716035.0,394638435.0,1351474435.0,45484635.0,604991935.0,539727135.0,6540235.0,120929335.0,123682235.0,235738635.0,2976321935.0,143768335.0,83953535.0,563153835.0,3474340535.0,86619035.0,140486935.0,137732135.0,725413235.0,2065542435.0,1264451135.0,331828135.0,26096735.0,760379435.0,4828113735.0,156255435.0,4922435.0,,3162335.0,651632035.0,223083635.0,2395135.0,99735235.0,131086935.0,,177729735.0,69547435.0,799543835.0,10241435.0,162143235.0,1191406735.0,38870279835.0,1350596935.0,590191235.0,,4203235.0,3263435.0,15494857735.0,671046735.0,13924235.0,22927935.0,285802435.0,239263735.0,400199835.0,152356835.0,786021435.0,2012627535.0,23338535.0,109024735.0,2656635.0,40301135.0,278669635.0,1804280735.0,119506535.0,500312135.0,1649746735.0,129990635.0,1871751235.0,8868597935.0,99458135.0,643099635.0,4690835.0,683533235.0,2125800435.0,3318535.0,180308109735.0,373634035.0,235773835.0,309662735.0
6,1997,462650235.0,95548735.0,883718735.0,335815735.0,2198735.0,1090587135.0,91317335.0,2897335.0,621374735.0,269451435.0,234209635.0,9041635.0,24290335.0,3636440935.0,8625935.0,326099935.0,337079535.0,6029035.0,159158235.0,,14524635.0,219926635.0,132976635.0,46560035.0,5289136635.0,10465135.0,277155635.0,255164435.0,148920835.0,9572935.0,274655335.0,368808635.0,1021116235.0,,91560335.0,179508135.0,470579135.0,42372467235.0,1180451735.0,13188835.0,1108220535.0,77628535.0,114692235.0,433881135.0,153853235.0,379747835.0,29943635.0,354441135.0,179781035.0,18797835.0,,239814235.0,65789519935.0,58613543935.0,354726835.0,1843586635.0,155580235.0,13353335.0,80038735.0,44609835.0,1506201635.0,12399240835.0,,24373835.0,173184735.0,1966652935.0,7345135.0,29682035.0,28267935.0,140696835.0,2865406735.0,483479135.0,363122635.0,,2788935.0,272729635.0,214955335.0,31497935.0,22236535.0,212973935.0,11059742335.0,153171435.0,228615135.0,341742535.0,8845835.0,29540088635.0,30912127635.0,6397335435.0,1778725335.0,566695635.0,122516135.0,,177846735.0,1932632335.0,73971035.0,4370750735.0,136881535.0,476291035.0,737489635.0,2166735.0,1654973735.0,72677535.0,134110735.0,130821435.0,14485251435.0,76795435.0,16219776535.0,94878235.0,46404735.0,62381735.0,164168135.0,113584335.0,148705342435.0,14292635.0,13414535.0,66718035.0,367911835.0,254994435.0,679233735.0,6807035.0,248259835.0,12505435.0,65507635.0,38743535.0,2896062435.0,2953935.0,7457483035.0,114608135.0,68445935.0,814163735.0,405711735.0,1381204135.0,47199035.0,615864835.0,541104135.0,6670135.0,122250935.0,127365935.0,245094135.0,3059811535.0,144572135.0,83368535.0,574284935.0,3573192935.0,88757635.0,144407635.0,141697035.0,740280235.0,2118346335.0,1275021535.0,334155035.0,26792035.0,758917735.0,4852270835.0,164862635.0,4961735.0,,3226835.0,675320035.0,228463235.0,2433535.0,100145535.0,135108035.0,,179386935.0,69767135.0,814468335.0,10584435.0,166078635.0,1213556935.0,39819530535.0,1357610235.0,597922535.0,,4296035.0,3299135.0,15930292835.0,690562435.0,14169335.0,23740135.0,286369435.0,239293135.0,415382935.0,154862935.0,808390135.0,2045864035.0,22502135.0,112443435.0,2687635.0,40995835.0,284837335.0,1842364535.0,122568935.0,514183735.0,1646029335.0,137568635.0,1877059935.0,8998468535.0,100102935.0,660812435.0,4803535.0,700760435.0,2183489535.0,3318435.0,183528974935.0,388109535.0,242720635.0,316462735.0
7,1998,473153335.0,96388535.0,912394435.0,345458035.0,2239235.0,1105852135.0,90899535.0,2938435.0,628611535.0,270707035.0,237576535.0,9170135.0,25005435.0,3743181435.0,8658635.0,327016135.0,337278935.0,6330535.0,163952835.0,,14979635.0,225310235.0,133089635.0,48070335.0,5410597335.0,10680435.0,275717435.0,263563135.0,151950835.0,9878635.0,288601335.0,380588235.0,1032534235.0,,93793335.0,185755335.0,478166935.0,42905967435.0,1208502135.0,13640635.0,1135759735.0,80029335.0,118141235.0,445571535.0,150835135.0,380620935.0,30732635.0,355808735.0,179961635.0,19200735.0,,244884935.0,66740319935.0,59535362735.0,363188135.0,1895720635.0,156748435.0,13783835.0,83043635.0,44526035.0,1552455735.0,12482633735.0,,24724235.0,173933335.0,1970643235.0,7492835.0,30667735.0,29094135.0,139654135.0,2863702635.0,496949735.0,365602335.0,,2824135.0,280148435.0,219550035.0,32387635.0,22328935.0,218899535.0,11380198835.0,157422035.0,229392535.0,341009935.0,8966635.0,30370844035.0,31656123135.0,6549617435.0,1856513435.0,587725935.0,124987135.0,,182184535.0,1928430035.0,74972935.0,4365296535.0,139407535.0,470367635.0,762017135.0,2207335.0,1675099235.0,76054335.0,137337235.0,133885935.0,14800726835.0,76446035.0,16683828535.0,96263735.0,46867735.0,67651035.0,168807335.0,112832635.0,151708068135.0,14447335.0,13694535.0,67550035.0,378310135.0,261937135.0,702141035.0,7134335.0,256088835.0,12612635.0,67849535.0,39267935.0,2961234835.0,2965735.0,7702921735.0,115572935.0,70003635.0,833357335.0,417018635.0,1411628635.0,48931435.0,625400535.0,543205635.0,6803135.0,123168835.0,131074935.0,254465735.0,3148065935.0,145547735.0,82094835.0,586494835.0,3675968535.0,90888635.0,148464535.0,145803435.0,754753035.0,2171678535.0,1287422135.0,336685235.0,27763335.0,756795935.0,4878091235.0,175054535.0,4989335.0,,3284935.0,697751635.0,234033135.0,2494035.0,101304435.0,139677935.0,,181072035.0,69900035.0,830363835.0,10933235.0,170969535.0,1234308635.0,40801628735.0,1365288035.0,605688035.0,,4399235.0,3333435.0,16384794535.0,709304735.0,14420635.0,24582735.0,287332735.0,239712335.0,430619535.0,157622635.0,831341535.0,2079668735.0,21671035.0,116131335.0,2725835.0,41731735.0,290767435.0,1880424535.0,125682435.0,529205435.0,1645317735.0,145650335.0,1884734735.0,9133823035.0,100697235.0,677945635.0,4914335.0,718047435.0,2246678335.0,3337135.0,186795930735.0,402674335.0,249974635.0,323368035.0
8,1999,485467435.0,97138835.0,941130735.0,356074835.0,2273535.0,1121333335.0,90890135.0,2975735.0,636450335.0,272123635.0,241381335.0,9308935.0,25814735.0,3851678035.0,8683635.0,328608435.0,337644035.0,6623435.0,169140235.0,,15560835.0,230833135.0,133698035.0,49562335.0,5532241235.0,10915035.0,274975535.0,272449535.0,155706835.0,10207535.0,303732435.0,392963835.0,1044163035.0,,96088235.0,192545435.0,486072235.0,43513045835.0,1236621635.0,14108435.0,1165653335.0,82438235.0,121627235.0,456868735.0,152076635.0,381810035.0,31548535.0,357233535.0,180120935.0,19646435.0,,249928635.0,67757611235.0,60534739935.0,371759035.0,1951651935.0,157759535.0,14272935.0,86555935.0,44698635.0,1601091435.0,12567536635.0,,25033935.0,174594235.0,1978192735.0,7653835.0,31696935.0,29990435.0,139013335.0,2862716535.0,510914435.0,367305835.0,,2864835.0,287791635.0,224058935.0,33330435.0,22323335.0,224981435.0,11717944035.0,161766535.0,230664535.0,340360035.0,9106135.0,31234400335.0,32419528635.0,6701850435.0,1937529935.0,609311735.0,127471835.0,,187119235.0,1923459935.0,75780135.0,4354540135.0,141783835.0,468145035.0,787785635.0,2255535.0,1692078035.0,79738135.0,140764035.0,137022835.0,15116617735.0,76255635.0,17168844535.0,98461135.0,47345635.0,72726835.0,173549535.0,112267335.0,154851948335.0,14627135.0,14006835.0,68385135.0,389564035.0,269564035.0,725084635.0,7534635.0,264451735.0,12707135.0,70317735.0,39865235.0,3025137835.0,2983335.0,7957776135.0,116582935.0,71739735.0,852077035.0,428946535.0,1441281535.0,50579635.0,634635935.0,545758035.0,6935535.0,123742335.0,134780635.0,263948935.0,3240002035.0,146743735.0,80894335.0,599871335.0,3785242235.0,93052135.0,152603035.0,150040135.0,769200735.0,2226545135.0,1299590235.0,339306535.0,28834835.0,756130735.0,4899981835.0,184841135.0,5007235.0,,3350535.0,719819735.0,240023235.0,2557135.0,103391335.0,140813235.0,,182814935.0,70227035.0,847070135.0,11287935.0,176266735.0,1256571135.0,41812948535.0,1374982135.0,613301035.0,,4505835.0,3365135.0,16862329535.0,728315135.0,14656135.0,25429135.0,288492135.0,240739735.0,446214535.0,161019635.0,855127935.0,2113368635.0,20989735.0,120046235.0,2758935.0,42457435.0,297062035.0,1918896735.0,128801535.0,545456935.0,1642718235.0,154369335.0,1894488035.0,9271007135.0,101234035.0,692830935.0,5030135.0,735834835.0,2311931135.0,3356135.0,190210258835.0,417815335.0,257549335.0,329985735.0
9,2000,501694735.0,97685535.0,969538635.0,367834335.0,2306935.0,1137280435.0,91102335.0,3018435.0,644338535.0,273329735.0,245645435.0,9459735.0,26794735.0,3960840235.0,8698735.0,330364235.0,338150735.0,6896035.0,174896235.0,,16256435.0,236468235.0,134403435.0,51024135.0,5652811035.0,11182935.0,274947835.0,281789735.0,160360835.0,10568335.0,318851435.0,405857635.0,1056534135.0,,98450835.0,199876235.0,494437535.0,44247401135.0,1264336335.0,14591535.0,1198946735.0,84828435.0,125106535.0,467625735.0,147485135.0,383591435.0,32386835.0,358186135.0,180361335.0,20155335.0,,254882935.0,68881640635.0,61643935735.0,380479635.0,2012210735.0,158690335.0,14824935.0,90474735.0,45576935.0,1652737335.0,12656682835.0,,25296835.0,175072935.0,1989733835.0,7834435.0,32764035.0,30946335.0,138420235.0,2862339435.0,525321435.0,368854335.0,,2915135.0,295551235.0,228879335.0,34309335.0,22256435.0,231079135.0,12076823135.0,166226135.0,231994835.0,340228035.0,9265035.0,32133115835.0,33195261635.0,6849571835.0,2020368735.0,631511335.0,130108035.0,,192426135.0,1918309935.0,76476135.0,4341792735.0,144322135.0,468876635.0,815217735.0,2312235.0,1706361835.0,83273335.0,144097035.0,140192335.0,15431993535.0,76001235.0,17676679935.0,101896935.0,47898935.0,77105935.0,178486435.0,111882935.0,158168551835.0,14813235.0,14353635.0,69102035.0,402025535.0,277530735.0,739399135.0,7866435.0,273370435.0,12815235.0,72913335.0,40294435.0,3087789035.0,3011535.0,8221137935.0,117751735.0,73704135.0,869726435.0,441754435.0,1469184335.0,52079935.0,644395135.0,548747235.0,7066835.0,124457135.0,138464435.0,273727935.0,3334829335.0,147976635.0,80385535.0,614530035.0,3901997735.0,95265735.0,156803035.0,154392735.0,783874535.0,2283215235.0,1297408235.0,342202535.0,29924535.0,757781335.0,4918436235.0,193482935.0,5017835.0,,3430935.0,743240535.0,246576935.0,2593735.0,106449635.0,143220735.0,,184217735.0,70706635.0,864773135.0,11647835.0,181633535.0,1282785935.0,42848921835.0,1389002935.0,620609735.0,,4611535.0,3394735.0,17365880135.0,748337535.0,14862435.0,26253835.0,289835835.0,242097735.0,462259335.0,165248235.0,879848435.0,2146078935.0,20549735.0,124144035.0,2779835.0,43142835.0,302859635.0,1957968435.0,131891335.0,562999135.0,1635847135.0,164275135.0,1905711335.0,9405495735.0,101710635.0,711191235.0,5156935.0,754292035.0,2374365035.0,3367635.0,193787772735.0,434002135.0,265411435.0,336067235.0
